user_snippet,x-axis__sum_values,x-axis__median,x-axis__mean,x-axis__length,x-axis__standard_deviation,x-axis__variance,x-axis__root_mean_square,x-axis__maximum,x-axis__absolute_maximum,x-axis__minimum,y-axis__sum_values,y-axis__median,y-axis__mean,y-axis__length,y-axis__standard_deviation,y-axis__variance,y-axis__root_mean_square,y-axis__maximum,y-axis__absolute_maximum,y-axis__minimum,z-axis__sum_values,z-axis__median,z-axis__mean,z-axis__length,z-axis__standard_deviation,z-axis__variance,z-axis__root_mean_square,z-axis__maximum,z-axis__absolute_maximum,z-axis__minimum,activity
525_0,-247.31000000000003,-1.805,-2.4731000000000005,100.0,4.379825954304577,19.18287539,5.0298209709690465,7.31,12.41,-12.41,824.4399999999999,8.805,8.244399999999999,100.0,6.756689769406318,45.65285664,10.65940842636213,19.5,19.5,-3.79,-221.78,-1.44,-2.2178,100.0,3.0880711066942745,9.53618316,3.8019494999276358,2.91,12.95,-12.95,Jogging
525_1,566.9299999999998,5.595,5.669299999999998,100.0,2.906784909483328,8.449398509999998,6.371056505792426,14.1,14.1,-0.95,824.6500000000001,8.39,8.246500000000001,100.0,2.5305487053206464,6.40367675,8.62603263383579,13.21,13.21,3.45,122.351584368,-0.25197644,1.22351584368,100.0,4.499906097086365,20.24915488259504,4.6632763055957795,14.47843,14.47843,-5.053149,Walking
525_2,-568.6099999999999,-5.305,-5.686099999999999,100.0,6.39305809374512,40.87119178999999,8.555870791450745,8.62,18.24,-18.24,736.43,6.4350000000000005,7.364299999999999,100.0,6.799682383023488,46.23568050999998,10.023402366462198,19.31,19.31,-4.99,56.39,0.95,0.5639,100.0,5.376821346297457,28.910207789999994,5.4063102944614645,12.79,15.75,-15.75,Jogging
525_3,-137.6,-1.99,-1.376,100.0,3.5382679378475563,12.51934,3.796408302593387,8.89,9.7,-9.7,778.99,7.83,7.7899,100.0,7.468088308931543,55.77234299,10.791426458073094,19.57,19.57,-4.52,-361.04,-2.7750000000000004,-3.6104000000000003,100.0,3.235462538803378,10.46821784,4.8480105197905665,1.8,10.88,-10.88,Jogging
525_4,-583.99,-5.0,-5.8399,100.0,6.513691502519904,42.428176990000004,8.748291776112637,6.51,18.96,-18.96,472.93,4.119999999999999,4.7293,100.0,5.7618112178376695,33.198468510000005,7.454176480336376,19.27,19.27,-6.82,-445.66999999999996,-3.375,-4.4567,100.0,5.149685826339312,26.519264110000005,6.810391985781728,7.4,15.83,-15.83,Jogging
525_5,-221.69,-1.95,-2.2169,100.0,3.9755703226078145,15.805159390000002,4.551901251125732,6.28,11.75,-11.75,812.98,7.835,8.1298,100.0,7.366217208309839,54.26115596,10.970633710046107,19.57,19.57,-4.33,-282.11999999999995,-2.3,-2.8211999999999993,100.0,2.856034061421537,8.15693056,4.0144862685031075,1.5,10.61,-10.61,Jogging
525_6,556.75,5.43,5.5675,100.0,1.903879920057985,3.62475875,5.884030506379109,10.38,10.38,2.07,798.15,8.045,7.9815,100.0,2.341712354239948,5.4836167499999995,8.317929970852122,12.98,12.98,3.68,148.91126135000005,0.44266130000000004,1.4891126135000006,100.0,3.043174683824033,9.260912156267503,3.3879741043804192,11.304889,11.304889,-2.4925237,Walking
525_7,617.9399999999999,5.77,6.179399999999999,100.0,3.3945193533105686,11.52276164,7.0503720469206455,13.82,13.82,0.08,814.7,8.83,8.147,100.0,3.9401397183348714,15.524700999999999,9.049768505326531,15.24,15.24,1.31,158.85411616,-0.020430522,1.5885411615999998,100.0,4.4650635798803755,19.936792772374154,4.73922523145626,15.5135765,15.5135765,-3.3642259,Walking
525_8,-119.34,-0.69,-1.1934,100.0,2.8951183809992984,8.381710439999999,3.131439605037913,3.91,11.11,-11.11,1030.5699999999997,10.19,10.305699999999996,100.0,3.7275064735020917,13.894304510000001,10.959094716261923,17.62,17.62,3.41,22.26926767,-0.898942965,0.2226926767,100.0,3.32419723270338,11.050287241912809,3.331648131206028,12.367276,12.367276,-3.486809,Walking
525_9,-693.61,-6.51,-6.9361,100.0,3.0347368567966484,9.20962779,7.570938581180011,-1.69,12.87,-12.87,479.0499999999999,4.33,4.790499999999999,100.0,2.441078194159294,5.95886275,5.376593066245576,10.46,10.46,-0.08,-405.91360481000004,-3.3914665,-4.0591360481,100.0,3.379453403393881,11.420705305710483,5.281788595040071,7.668256,13.947236,-13.947236,Walking
525_10,-153.46,-1.31,-1.5346000000000002,100.0,1.8936511928018844,3.5859148399999996,2.4373986132760477,3.26,6.63,-6.63,931.97,8.16,9.319700000000001,100.0,4.973018289731097,24.730910910000002,10.563508839396121,19.57,19.57,0.89,194.866313674,1.2258313,1.94866313674,100.0,2.449379548338934,5.99946017182104,3.1299757494764107,11.75436,11.75436,-3.173541,Downstairs
525_11,-119.74000000000001,-0.89,-1.1974,100.0,2.417191188135518,5.842813239999998,2.6975136700302373,3.26,9.04,-9.04,1024.1399999999999,10.76,10.241399999999999,100.0,3.765362404868886,14.17795404,10.91165560306959,18.96,18.96,3.57,81.735706606,-0.074911912,0.8173570660599999,100.0,3.3859529909194603,11.464677656716438,3.483209759712247,12.026767,12.026767,-3.445948,Walking
525_12,-586.45,-4.14,-5.8645000000000005,100.0,5.977072423017811,35.72539475,8.373634515549385,5.9,18.54,-18.54,706.3000000000001,4.765000000000001,7.063000000000001,100.0,6.076081714394564,36.91876899999999,9.316906031510676,18.77,18.77,-2.37,-122.54999999999997,-0.9950000000000001,-1.2254999999999996,100.0,4.706090814040885,22.147290750000003,4.863038247844654,9.62,13.06,-13.06,Jogging
